pfrid,team,position,full_name,First*(actual_fantasy_points),fantasy_points_FP,fantasy_points_NFL,fantasy_points_CBS,fox,fantasy_points2,min,max,avg,opp_def_rank_nf,fantasy_points_nf,fantasy_points_fd,salary_fd,value_fd,overall_rank_nf,position_rank_nf,Confidence,opponent,FFPts,Grade,FanDuel (Projected points),FanDuel (Price),FanDuel ($/point),FanDuel (Value),performance,variability,changevs,homeaway,#,QB,#(2),RB,#(3),RB-PPR,#(4),WR,#(5),WR-PPR,#(6),TE,#(7),TE-PP,#(8),K,#(9),OFF,#(10),OFF-PPR,#(11),DEF
QuicBr00,STL,WR,Brian Quick,4.2,3.36,3.2,2.45,5.7,5.38,0.4,4.2,1.775,17,2.93,3.95,4700,0.84,170,69,2.93,BAL,4.1,C-Game,4.8,4700,976.5,1.02,3.374285714,3.8,1.599285714,2,30,20.9,14,17,15,23.1,30,28.9,29,42.6,3,4.5,2,8.5,32,10.4,27,81.6,28,105.4,8,6.4
PolkCh00,HOU,RB,Chris Polk,1.4,2.539,0.48,2.578,1.8,1.315,0.5,12.5,4.088888889,4,2.76,3.44,5200,0.66,172,50,2.76,NYJ,4.5,C-Game,5.1,5200,1013.8,0.99,2.808142857,12,-1.280746032,1,6,14,3,12.6,4,16.8,12,21.8,11,33.3,8,5.2,8,9.7,17,7.4,3,61.1,2,81.3,14,7.4
FowlBe00,DEN,WR,Bennie Fowler,2.2,2,,1.37,0.1,0.08,1.6,7,3.783333333,25,2.67,3.47,4800,0.72,176,71,2.67,,,,7.809907121,,,,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,
BeasCo00,DAL,WR,Cole Beasley,1.3,4.43,2.2,4.87,3.1,3.29,1.3,27.7,8.485714286,26,2.66,3.78,5400,0.7,177,72,2.66,MIA,4.5,C-Game,5.9,5400,920.8,1.09,3.785714286,26.4,-4.7,2,18,17,31,24.4,31,28.9,17,23.7,15,35.5,19,8.6,17,13.3,16,7.4,26,81,23,102,21,8.5
BoldBr00,NE,RB,Brandon Bolden,-0.3,1.46,0.66,2.256,2.9,2.431,0.8,11.4,4.666666667,10,2.62,3.55,5900,0.6,177,51,2.62,BUF,1.1,C-Game,1.5,5900,4045.5,0.25,2.095142857,10.6,-2.57152381,1,8,14.8,20,19.9,17,24.5,13,21.8,17,35.5,6,5.1,7,9.5,3,5.9,8,67.5,12,90.2,18,7.7
BrowJa03,ARI,WR,Jaron Brown,5.3,1.923,0,3.18,5.8,6.23,0.8,9,3.883333333,11,2.62,3.66,4500,0.81,178,73,2.62,CIN,5.1,C-Game,5.9,4500,768.7,1.3,2.843285714,8.2,-1.040047619,1,2,13.5,15,17.1,14,22.9,7,18.2,8,29.2,11,6.3,15,12.8,6,6,2,61,5,84.4,6,6.2
TolbMi00,CAR,FB,Mike Tolbert,2.6,2.519,1.62,2.901,2.6,1.956,0.7,14.3,4.055555556,15,2.6,3.14,4900,0.64,178,52,2.6,WAS,2.2,C-Game,2.7,4900,1816.6,0.55,2.582857143,13.6,-1.472698413,1,13,16.5,8,15.8,7,19.7,20,24.3,13,35.1,9,5.5,10,10.3,13,6.8,11,68.9,7,88.4,12,6.9
GresJe00,ARI,TE,Jermaine Gresham,9.6,3.07,1.9,2.65,2.8,3.03,0.9,9.6,4.042857143,11,2.57,3.34,4500,0.74,179,29,2.57,CIN,2.6,C-Game,3.2,4500,1390.9,0.72,2.757142857,8.7,-1.285714286,1,2,13.5,15,17.1,14,22.9,7,18.2,8,29.2,11,6.3,15,12.8,6,6,2,61,5,84.4,6,6.2
AustMi00,PHI,WR,Miles Austin,0,2.15,1.6,2.97,0.5,0.26,3.2,12.1,6.64,18,2.47,3.11,5000,0.62,182,74,2.47,TB,3.1,C-Game,3.6,5000,1382.1,0.72,2.624285714,8.9,-4.015714286,1,24,17.8,9,15.9,8,19.7,22,24.5,24,38.4,13,7.4,12,12.1,22,8,20,73.4,20,95.9,27,9.4
CeleBr00,PHI,TE,Brent Celek,15.4,2.08,1.3,3.63,3.4,3.17,1.1,15.4,7.6,18,2.43,2.82,5300,0.53,183,31,2.43,TB,2.4,C-Game,3,5300,1786.6,0.56,2.527142857,14.3,-5.072857143,1,24,17.8,9,15.9,8,19.7,22,24.5,24,38.4,13,7.4,12,12.1,22,8,20,73.4,20,95.9,27,9.4
DickEd00,CAR,TE,Ed Dickson,9.6,1.93,1.8,3.04,2.4,2.57,1.1,9.6,4.416666667,15,2.41,3.31,4800,0.69,184,32,2.41,WAS,1.4,C-Game,2.1,4800,2282.8,0.44,2.428571429,8.5,-1.988095238,1,13,16.5,8,15.8,7,19.7,20,24.3,13,35.1,9,5.5,10,10.3,13,6.8,11,68.9,7,88.4,12,6.9
GrimJo01,HOU,RB,Jonathan Grimes,5,2.365,0.24,3.649,5.3,3.26,2.2,7.7,4.84,4,2.3,2.96,5300,0.56,186,53,2.3,NYJ,2.8,C-Game,3.7,5300,1424.2,0.7,2.502,5.5,-2.338,1,6,14,3,12.6,4,16.8,12,21.8,11,33.3,8,5.2,8,9.7,17,7.4,3,61.1,2,81.3,14,7.4
KerlJe00,NYJ,WR,Jeremy Kerley,1.2,2.95,4.22,3.32,3,3.32,1.2,12.3,7.04,13,2.35,3.1,4800,0.65,186,76,2.35,HOU,1.9,C-Game,2.6,4800,1831.1,0.55,2.984285714,11.1,-4.055714286,2,17,16.9,28,21.4,25,27.5,9,21.1,10,32.5,10,6.2,11,10.5,8,6.3,18,71.8,14,93.7,19,7.7
StilKe00,MIA,WR,Kenny Stills,0,4.1,3.7,4.62,6.2,5.87,1.7,16.6,6.983333333,22,2.35,2.94,4800,0.61,186,76,2.35,DAL,3.9,C-Game,4.8,4800,999.6,1,3.551428571,14.9,-3.431904762,1,4,13.9,19,19.7,18,24.9,6,17.4,5,27.9,5,5,6,9.1,15,7.4,6,63.3,3,83.2,25,9.1
HuffJo00,PHI,WR,Josh Huff,9.8,3.07,3.4,2.94,1.8,1.68,1.5,15.8,5.485714286,18,2.25,3.14,4900,0.64,188,77,2.25,TB,2.9,C-Game,3.9,4900,1248.1,0.8,2.992857143,14.3,-2.492857143,1,24,17.8,9,15.9,8,19.7,22,24.5,24,38.4,13,7.4,12,12.1,22,8,20,73.4,20,95.9,27,9.4
WareSp00,KC,RB,Spencer Ware,0.4,1.305,,0.018,0,0,0.4,7.2,2.8,28,2.25,2.47,4700,0.53,188,54,2.25,SD,2.2,C-Game,2.2,4700,2099.5,0.48,0,6.8,,2,19,17,32,25.3,32,30.8,8,18.9,7,28.7,25,9.6,21,14.3,29,8.8,25,79.6,22,99.5,24,8.9
MyerBr00,TB,TE,Brandon Myers,5,2.52,1.3,1.63,4.7,5.05,1.3,5,3.74,5,2.19,3.07,4600,0.67,190,34,2.19,PHI,2,C-Game,2.7,4600,1730.4,0.58,2.228571429,3.7,-1.511428571,2,16,16.8,2,12.2,1,16.1,31,29,32,44.6,2,4.2,4,8.9,20,7.8,15,70,16,94.2,16,7.5
WillLu00,SEA,TE,Luke Willson,0,2.25,1.4,3.7,3.1,2.95,2.1,11.1,4.6,29,2.09,2.68,4500,0.6,193,35,2.09,SF,2,C-Game,2.5,4500,1835.8,0.54,2.387142857,9,-2.212857143,1,25,18.1,26,21.1,28,28.4,24,25.3,25,38.5,18,8.4,20,13.9,7,6.2,24,79.1,27,105,29,9.9
RidlSt00,NYJ,RB,Stevan Ridley,-0.1,2.05,0.8,2.22,0.2,0.024,0,0,0,13,2.07,2.67,5000,0.53,194,55,2.07,,,,7.809907121,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HolmAn00,OAK,WR,Andre Holmes,9.9,2.16,1.6,3.32,4.4,3.8,6.5,18.4,10.4,27,2.02,2.39,5100,0.47,195,81,2.02,DET,2.4,C-Game,2.8,5100,1840.5,0.54,2.33,11.9,-8.07,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
AvanJa00,KC,WR,Jason Avant,0,1.77,2.6,2.75,0.6,0.37,0.9,6.3,2.775,28,2.01,2.7,4500,0.6,196,82,2.01,,,,7.809907121,,,,0,5.4,,,,,,,,,,,,,,,,,,,,,,,,
GranRy01,WAS,WR,Ryan Grant,0,1.97,,2.84,0.1,0.06,0.9,12.9,4.842857143,7,1.97,2.6,4600,0.57,198,84,1.97,,,,7.809907121,,,,0,12,,,,,,,,,,,,,,,,,,,,,,,,
RawlTh00,SEA,RB,Thomas Rawls,1.9,1.541,0.47,2.624,2.5,1.211,0.5,22.9,5.975,29,1.94,2.07,5600,0.37,199,56,1.94,SF,4.3,C-Game,4.5,5600,1232,0.81,2.155,22.4,-3.82,1,25,18.1,26,21.1,28,28.4,24,25.3,25,38.5,18,8.4,20,13.9,7,6.2,24,79.1,27,105,29,9.9
WillMa04,BAL,TE,Maxx Williams,12,3.16,3.2,4.4,2.3,2.02,0.5,12,4.114285714,2,1.9,2.63,4700,0.56,201,36,1.9,STL,2,C-Game,2.9,4700,1615.3,0.62,2.87,11.5,-1.244285714,1,3,13.8,18,19.6,24,26.8,2,13.7,2,26.2,16,7.9,19,13.5,27,8.4,5,63.3,9,88.7,22,8.6
KendLa00,STL,TE,Lance Kendricks,0.9,1.94,2.7,2.41,1.9,2.37,0.9,11.2,3.442857143,17,1.86,2.51,4600,0.55,204,37,1.86,BAL,2.9,C-Game,3.7,4600,1233.8,0.81,2.425714286,10.3,-1.017142857,2,30,20.9,14,17,15,23.1,30,28.9,29,42.6,3,4.5,2,8.5,32,10.4,27,81.6,28,105.4,8,6.4
SimsDi00,MIA,TE,Dion Sims,1.3,2.49,,2.71,2.1,1.97,0.2,11.3,3.06,22,1.86,2.51,4600,0.55,204,37,1.86,DAL,2,C-Game,2.9,4600,1561.3,0.64,0,11.1,,1,4,13.9,19,19.7,18,24.9,6,17.4,5,27.9,5,5,6,9.1,15,7.4,6,63.3,3,83.2,25,9.1
WrigJa02,MIN,WR,Jarius Wright,0.7,3.26,3.47,3.66,3.7,3.58,0.7,7.9,3.6,21,1.81,2.44,4900,0.5,205,88,1.81,GB,3,C-Game,3.8,4900,1289.7,0.78,2.892857143,7.2,-0.707142857,1,26,18.5,16,18.5,16,23.2,25,25.5,22,38,17,8.3,16,13.3,10,6.4,21,77.2,21,99.4,1,3.9
WalfCl00,OAK,TE,Clive Walford,8.8,2.55,,2.68,2.8,2.89,0.6,11.2,4.885714286,27,1.79,2.21,4800,0.46,206,38,1.79,DET,2.8,C-Game,3.7,4800,1302.1,0.77,0,10.6,,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
ReecMa00,OAK,FB,Marcel Reece,0.5,2.611,0.63,3.813,2.4,2.458,0.5,16.1,5.733333333,27,1.72,2.03,5000,0.41,210,57,1.72,DET,4.1,C-Game,5.3,5000,941.6,1.06,2.546285714,15.6,-3.187047619,2,31,21,23,20.8,19,25.6,27,26.6,27,41.9,26,10.5,26,16,21,7.8,31,86.7,31,112.3,20,8.2
ChanSc00,NE,TE,Scott Chandler,6.6,2.1,3.4,2.71,2.9,3.03,1,6.6,4.025,10,1.69,2.18,4600,0.47,211,40,1.69,BUF,2.2,C-Game,2.9,4600,1606.5,0.62,2.381428571,5.6,-1.643571429,1,8,14.8,20,19.9,17,24.5,13,21.8,17,35.5,6,5.1,7,9.5,3,5.9,8,67.5,12,90.2,18,7.7
MumpKe00,HOU,WR,Keith Mumphery,0,1.31,1.6,0.06,1.4,1.47,0.8,7.6,3.316666667,4,1.63,2.41,4800,0.5,213,91,1.63,,,,7.809907121,,,,0,6.8,,,,,,,,,,,,,,,,,,,,,,,,
HumpAd00,TB,WR,Adam Humphries,3.5,2.74,,2,4.5,4.88,2.4,8,4.2,5,1.58,2.37,5000,0.47,214,92,1.58,PHI,3.4,C-Game,4.9,5000,1025.4,0.98,0,5.6,,2,16,16.8,2,12.2,1,16.1,31,29,32,44.6,2,4.2,4,8.9,20,7.8,15,70,16,94.2,16,7.5
ElliRh00,MIN,TE,Rhett Ellison,8.8,1.53,,1.97,1.5,1.54,0.8,8.8,3.325,21,1.56,2.08,4500,0.46,215,42,1.56,,,,7.809907121,,,,0,8,,,,,,,,,,,,,,,,,,,,,,,,
MasoTr00,STL,RB,Tre Mason,3.2,2.036,0.96,1.081,4.1,2.244,0.4,5.7,2.95,17,1.5,1.96,5000,0.39,217,59,1.5,BAL,1.9,C-Game,2.3,5000,2161.8,0.46,1.619571429,5.3,-1.330428571,2,30,20.9,14,17,15,23.1,30,28.9,29,42.6,3,4.5,2,8.5,32,10.4,27,81.6,28,105.4,8,6.4
CaldAn00,DEN,WR,Andre Caldwell,8.3,1.87,3,1.63,2.1,1.92,0.6,8.3,2.733333333,25,1.49,2.11,4500,0.47,219,93,1.49,,,,7.809907121,,,,0,7.7,,,,,,,,,,,,,,,,,,,,,,,,
ThomDe05,KC,WR,De'Anthony Thomas,5.7,2.442,2.85,2.75,6.6,6.569,0.1,10.7,3.911111111,28,1.36,1.69,4500,0.38,219,61,1.36,SD,2.3,C-Game,3.3,4500,1363.4,0.73,2.250285714,10.6,-1.660825397,2,19,17,32,25.3,32,30.8,8,18.9,7,28.7,25,9.6,21,14.3,29,8.8,25,79.6,22,99.5,24,8.9
RobiDe00,JAC,RB,Denard Robinson,0.1,2.296,1.3,2.404,5.2,4.208,0.1,5.5,2.4,12,1.31,1.63,5000,0.33,220,62,1.31,TEN,2.7,C-Game,3.2,5000,1583.4,0.63,1.921428571,5.4,-0.478571429,1,22,17.4,5,13.8,3,16.7,11,21.4,9,31.4,28,11,27,16.3,2,5.7,13,69.3,6,87.4,32,13.7
McKiJe00,MIN,RB,Jerick McKinnon,1.2,1.008,0.95,1.392,0.7,0.1,0.2,4.2,1.811111111,21,1.13,1.35,4700,0.29,222,63,1.13,GB,1.8,C-Game,2.1,4700,2213.7,0.45,1.294285714,4,-0.516825397,1,26,18.5,16,18.5,16,23.2,25,25.5,22,38,17,8.3,16,13.3,10,6.4,21,77.2,21,99.4,1,3.9
AsiaMa00,MIN,RB,Matt Asiata,3.5,2.188,0.89,2.262,2.9,1.467,0.3,4.2,2.2,21,1.12,1.29,4500,0.29,223,64,1.12,,,,7.809907121,,,,0,3.9,,,,,,,,,,,,,,,,,,,,,,,,
JennGr00,MIA,WR,Greg Jennings,1.4,1.63,3.4,2.06,2.6,2.28,1.4,4.7,2.8,22,1.06,1.44,4500,0.32,226,94,1.06,DAL,1.7,C-Game,2.3,4500,1966.6,0.51,1.85,3.3,-0.95,1,4,13.9,19,19.7,18,24.9,6,17.4,5,27.9,5,5,6,9.1,15,7.4,6,63.3,3,83.2,25,9.1
LewiMa00,JAC,TE,Marcedes Lewis,1.4,1.45,3.2,1.47,2.9,3.07,1.3,6.5,2.94,12,0.99,1.34,4500,0.3,228,45,0.99,TEN,1.2,C-Game,1.8,4500,2517.8,0.4,1.605714286,5.2,-1.334285714,1,22,17.4,5,13.8,3,16.7,11,21.4,9,31.4,28,11,27,16.3,2,5.7,13,69.3,6,87.4,32,13.7
CunnBe01,STL,RB,Benny Cunningham,0.7,1.464,2.02,2.817,0.7,0.196,0.7,14.2,4.6,17,0.94,1.21,4700,0.26,229,68,0.94,BAL,1.4,C-Game,2.2,4700,2171.2,0.46,1.655857143,13.5,-2.944142857,2,30,20.9,14,17,15,23.1,30,28.9,29,42.6,3,4.5,2,8.5,32,10.4,27,81.6,28,105.4,8,6.4
CassMa00,DAL,QB,Matt Cassel,6.64,0.284,14.6,0.204,0,0,6.64,24.66,12.49,26,0.87,0.94,6000,0.16,231,29,0.87,,,,7.809907121,,,,0,18.02,,,,,,,,,,,,,,,,,,,,,,,,
